"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Email First and Last Name Properties","properties","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","20-May-2021 12_03",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","20-May-2021 12_03",
