"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Email First and Last Name Properties","properties","OK","","27-May-2021 12_56",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","27-May-2021 12_56",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","27-May-2021 12_56",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","27-May-2021 12_56",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Delete Customer","request","OK","","27-May-2021 12_56",
