"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Email First and Last Name Properties","properties","OK","","20-May-2021 11_59",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","FAILED","Message:[Not SOAP Fault] Response is a SOAP Fault
","20-May-2021 11_59",
